date;station;region;Sample;length;mass;sex;Hg;Pb;Cu;Cd
07.11.2018;Al Hoceima;Mittelmeer;331;79;760;M;0.34;72.77;2898.92;98.44
06.11.2018;Al Hoceima;Mittelmeer;332;73;590;F;0.17;45.5;18476.88;142.6
06.11.2018;Al Hoceima;Mittelmeer;333;75.5;680;F;0.09;43.11;5891.82;92.83
06.11.2018;Al Hoceima;Mittelmeer;334;62;390;?;0.08;67.98;3332.84;41.26
06.11.2018;Al Hoceima;Mittelmeer;335;57;290;?;0.14;34.02;20291.33;113.53
18.11.2017;Casablanca;Atlantik;182;106;2120;M (reif);0.07;27.27;7008.29;366.66
18.11.2017;Casablanca;Atlantik;183;108;2490;F?;0.13;21.74;7764.74;1131.77
18.11.2017;Casablanca;Atlantik;184;103.5;2100;M;0.1;15.81;11551.8;1207.7
18.11.2017;Casablanca;Atlantik;185;99;2000;M;0.1;18.69;3094.68;735.07
18.11.2017;Casablanca;Atlantik;186;98.5;1970;M;0.05;13.46;12477.11;195.52
18.11.2017;Casablanca;Atlantik;187;102;2150;M;0.05;11.82;12318.41;362.63
18.11.2017;Casablanca;Atlantik;188;98;1960;M;0.18;29.47;3162.57;711.63
18.11.2017;Casablanca;Atlantik;189;77.5;750;M (juvenil);0.26;27.05;2084.32;259.54
18.11.2017;Casablanca;Atlantik;190;54;211;F (juvenil);0.19;87.14;4197.43;169.8
18.11.2017;Casablanca;Atlantik;191;46;140;?;0.05;55.25;13399.37;231.98
04.03.2019;Laayoune Port;Atlantik;350;91;1357.5;M;0.08;47.4;13593.44;330.24
04.03.2019;Laayoune Port;Atlantik;351;102.5;2424.2;M;0.09;32.21;22012.68;543.8
04.03.2019;Laayoune Port;Atlantik;352;108;2494;M;0.18;109.52;;
04.03.2019;Laayoune Port;Atlantik;353;107;3015.7;M;0.1;38.8;8548.86;322.1
04.03.2019;Laayoune Port;Atlantik;354;125.5;4238;M;0.27;156.62;;368.39
04.03.2019;Laayoune Port;Atlantik;355;118;3369;M;0.18;93.76;;
04.03.2019;Laayoune Port;Atlantik;356;115;3327.9;M;0.14;32.91;2636.16;428.84
04.03.2019;Laayoune Port;Atlantik;357;70.9;820.3;M;0.08;59.75;;652.06
04.03.2019;Laayoune Port;Atlantik;358;80.8;835.8;M;0.1;74.14;;
04.03.2019;Laayoune Port;Atlantik;359;64;401.6;M;0.08;106.6;2759.94;537.44
04.03.2019;Laayoune Port;Atlantik;360;128.5;4112.4;F;0.38;96.28;;287.28
04.03.2019;Laayoune Port;Atlantik;361;120;3635.3;F;0.17;39.46;;
04.03.2019;Laayoune Port;Atlantik;362;107;2706.5;M;0.13;34.17;9125.98;366.21
04.03.2019;Laayoune Port;Atlantik;363;125;4529.2;M;0.24;83.82;;920.67
04.03.2019;Laayoune Port;Atlantik;364;131.7;4831.2;M;0.27;53.39;;
04.03.2019;Laayoune Port;Atlantik;365;86;1189;M;0.06;34.83;;
21.11.2017;Martil;Mittelmeer;246;102.5;2320;M;0.97;30.45;5242.63;74.39
21.11.2017;Martil;Mittelmeer;247;102;2360;M;0.51;26.16;8116.63;86.13
21.11.2017;Martil;Mittelmeer;248;97.5;1720;M;0.71;37.54;6995.72;157.58
21.11.2017;Martil;Mittelmeer;249;111.5;3040;M;1.12;17.37;4251.37;73.85
